SN,Actual IP Delay (ms),Predicted IP Delay (ms),Absolute Difference (ms)
7320,20.963191986083984,20.93487518186521,0.02831680421877536
7321,20.89691162109375,20.860316639755183,0.03659498133856687
7322,20.85399627685547,20.85527600183923,0.0012797249837603886
7323,20.77889442443848,20.7931776217265,0.014283197288019522
7324,20.713090896606445,20.76080761025878,0.047716713652334874
7325,20.63608169555664,20.6771393886811,0.04105769312445773
7326,20.60413360595703,20.577292194047914,0.026841411909117596
7327,20.521879196166992,20.566548329043144,0.04466913287615171
7328,20.492076873779297,20.50132535669036,0.009248482911061728
7329,20.4010009765625,20.4470342678178,0.046033291255298536
7330,20.35403251647949,20.378809032536083,0.024776516056594033
7331,20.28489112854004,20.31838371522099,0.0334925866809499
7332,20.22409439086914,20.256150605291623,0.0320562144224823
7333,20.14899253845215,20.19271297058367,0.0437204321315221
7334,20.06697654724121,20.12399473142068,0.057018184179469245
7335,19.993066787719727,20.049016247867257,0.05594946014753077
7336,19.937992095947266,19.976639859578427,0.03864776363116107
7337,19.92487907409668,19.912300004307326,0.012579069789353525
7338,19.789934158325195,19.87151675257337,0.08158259424817516
7339,19.804000854492188,19.780789627020567,0.023211227471620077
7340,19.66404914855957,19.739491586733493,0.07544243817392271
7341,19.654035568237305,19.653737734188326,0.00029783404897898436
7342,19.59991455078125,19.603544174515264,0.003629623734013876
7343,19.51289176940918,19.550571225863678,0.037679456454497995
7344,19.44899559020996,19.48041352261498,0.03141793240502011
7345,19.37794685363769,19.410701567267097,0.032754713629405074
7346,19.302845001220703,19.344312277098652,0.04146727587794885
7347,19.210100173950195,19.275368482794875,0.06526830884467927
7348,19.14691925048828,19.19232028649276,0.045401036004477646
7349,19.16098594665528,19.122595930639363,0.03839001601591718
7350,19.00506019592285,19.088647033186135,0.08358683726328309
7351,19.00005340576172,18.99427717535218,0.005776230409537675
7352,18.960952758789062,18.93992894360963,0.02102381517943286
7353,18.89204978942871,18.893855703254303,0.0018059138255921425
7354,18.83697509765625,18.834764613302468,0.002210484353781794
7355,18.74399185180664,18.774229702330558,0.030237850523917587
